05/06/25 12:30:20.710 PM [21240|8564] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/06/25 12:31:26.121 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:28.223 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:30.068 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:31.064 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:32.211 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:35.931 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:37.928 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:38.951 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:39.888 PM [21240|22928] [info] Request ReJIT done for 3 methods
05/06/25 12:31:40.285 PM [21240|22928] [info] Request ReJIT done for 7 methods
05/06/25 12:31:40.602 PM [21240|8564] [info] NGEN:: Processed with 1 inliners [ModuleId=140725412106240,MethodDef=100676835]
05/06/25 12:31:40.602 PM [21240|8564] [info] NGEN:: Processed with 1 inliners [ModuleId=140725412106240,MethodDef=100676833]
05/06/25 12:31:40.602 PM [21240|22928] [info] Request ReJIT done for 1 methods
05/06/25 12:31:40.602 PM [21240|22928] [info] Request ReJIT done for 1 methods
05/06/25 12:31:41.335 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 12:31:41.579 PM [21240|22928] [info] Request ReJIT done for 1 methods
05/06/25 12:31:43.526 PM [21240|22928] [info] Request ReJIT done for 12 methods
05/06/25 01:12:46.462 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/06/25 01:12:48.041 PM [21240|8564] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
