05/13/25 08:55:04.674 AM [18144|17940] [info] Datadog CLR Profiler 3.16.0 on Windows (amd64)
05/13/25 08:55:47.026 AM [18144|17940] [info] NGEN:: Processed with 1 inliners [ModuleId=140704583127040,MethodDef=100676835]
05/13/25 08:55:47.026 AM [18144|17940] [info] NGEN:: Processed with 1 inliners [ModuleId=140704583127040,MethodDef=100676833]
05/13/25 08:55:47.026 AM [18144|29044] [info] Request ReJIT done for 1 methods
05/13/25 08:55:47.026 AM [18144|29044] [info] Request ReJIT done for 1 methods
05/13/25 08:55:47.981 AM [18144|29044] [info] Request ReJIT done for 1 methods
05/13/25 08:55:49.289 AM [18144|29044] [info] Request ReJIT done for 12 methods
05/13/25 09:19:49.625 AM [18144|17940] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/13/25 09:19:50.172 AM [18144|17940] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/13/25 09:19:52.663 AM [18144|17940] [warning] Timeout while waiting for the rejit requests to be processed. Rejit will continue asynchronously, but some initial calls may not be instrumented
05/13/25 09:20:07.202 AM [18144|14696] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Threading.CancellationToken
05/13/25 09:20:07.203 AM [18144|14696] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Threading.CancellationToken
05/13/25 09:20:07.203 AM [18144|14696] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Threading.CancellationToken
05/13/25 09:20:07.203 AM [18144|14696] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Threading.CancellationToken
05/13/25 09:20:07.203 AM [18144|14696] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Threading.CancellationToken
05/13/25 09:20:07.203 AM [18144|14696] [info] *** CallTarget_RewriterCallback() Finished: System.Net.Http.HttpClientHandler.SendAsync() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Http.HttpClient.HttpClientHandler.HttpClientHandlerIntegration, Arguments=2]
05/13/25 10:35:13.251 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.251 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.252 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.252 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.252 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.252 AM [18144|17940] [info] *** CallTarget_RewriterCallback() Finished: System.Runtime.Remoting.Channels.BinaryClientFormatterSink.SyncProcessMessage() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Remoting.Client.SyncProcessMessageIntegration, Arguments=1]
05/13/25 10:35:13.256 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.256 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.256 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.256 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.256 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.256 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.257 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.258 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.258 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:13.258 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.258 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.258 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:13.258 AM [18144|17940] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:13.258 AM [18144|17940] [info] *** CallTarget_RewriterCallback() Finished: System.Runtime.Remoting.Channels.Tcp.TcpClientTransportSink.ProcessMessage() [IsVoid=1, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Remoting.Client.IpcTcpProcessMessageIntegration, Arguments=5]
05/13/25 10:35:15.289 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.290 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.290 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.290 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.290 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.291 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.292 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.293 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.294 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.294 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.294 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.294 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.294 AM [18144|20776] [info] *** CallTarget_RewriterCallback() Finished: System.Runtime.Remoting.Channels.BinaryServerFormatterSink.ProcessMessage() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Remoting.Server.ProcessMessageIntegration, Arguments=7]
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.304 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.305 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.IServerChannelSinkStack
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Messaging.IMessage
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.Runtime.Remoting.Channels.ITransportHeaders
05/13/25 10:35:15.306 AM [18144|20776] [warning] [ResolveTypeInternal] GetAssemblyFromScope has failed with: System.IO.Stream
05/13/25 10:35:15.306 AM [18144|20776] [info] *** CallTarget_RewriterCallback() Finished: System.Runtime.Remoting.Channels.SoapServerFormatterSink.ProcessMessage() [IsVoid=0, IsStatic=0, IntegrationType=Datadog.Trace.ClrProfiler.AutoInstrumentation.Remoting.Server.ProcessMessageIntegration, Arguments=7]
